,title,author,date,INSPEC,DOI,citations,publisher,url,keywords
116,A survey on quantum channelcapacities,"L. Gyongyosi, S. Imre, and H. V. Nguyen, ",06 May 2019,17829227,10.1109/COMST.2017.2786748,116,IEEE,https://ieeexplore.ieee.org/document/8242350,
117,Entanglement-assisted capacity of a quantum channel and the reverseShannon theorem,"C. H. Bennett, P. W. Shor, J. A. Smolin, and A. V. Thapliyal,",07 November 2002,7407456,10.1109/TIT.2002.802612,372,IEEE,https://ieeexplore.ieee.org/iel5/18/22215/01035117.pdf,
118,The private classical capacity and quantum capacity of aquantum channel,"I. Devetak, ",10 January 2005,8267891,10.1109/TIT.2004.839515,482,IEEE,https://ieeexplore.ieee.org/iel5/18/30067/01377491.pdf,
119,Identifying the informationgain of a quantum measurement,"M. Berta, J. M. Renes, and M. M. Wilde, ",11 August 2014,14515021,10.1109/ISIT.2014.6874849,1,IEEE,http://ieeexplore.ieee.org/document/6874849/,
120,Quantum spread spec-trum multiple access,"J. C. Garcia-Escartin and P. Chamorro-Posada, ",21 November 2014,14753628,10.1109/JSTQE.2014.2360366,6,IEEE,https://ieeexplore.ieee.org/document/6910207,
121,The quantum theory of optical communications,"J. H. Shapiro, ",04 December 2009,11004961,10.1109/JSTQE.2009.2024959,97,IEEE,https://ieeexplore.ieee.org/iel5/2944/4481213/05223603.pdf,
122,Feasibility ofquantum communications in aquatic scenario,"S. Tarantino, D. Cozzolino, K. Rottwitt, and D. Bacco, ",08 November 2018,18249047,10.1109/IPCon.2018.8527325,3,IEEE,https://ieeexplore.ieee.org/document/8527325,
123,Terahertz essential devices technique research based on quantumcommunication,"J. Du, ",17 December 2018,18362707,10.1109/IAEAC.2018.8577895,1,IEEE,http://ieeexplore.ieee.org/document/8577895,
124,Quantum communication forwireless wide-area networks,"S.-T. Cheng, C.-Y. Wang, and M.-H. Tao, ",05 July 2005,8513938,10.1109/JSAC.2005.851157,73,IEEE,https://ieeexplore.ieee.org/document/1461505,
125,The capacity of the quantum channel with general signalstates,"A. S. Holevo, ",06 August 2002,5812019,10.1109/18.651037,721,IEEE,https://ieeexplore.ieee.org/document/651037,
126,Entanglement-assisted communicationof classical and quantum information,"M.-H. Hsieh and M. M. Wilde, ",16 August 2010,11473339,10.1109/TIT.2010.2053903,64,IEEE,https://ieeexplore.ieee.org/iel5/18/5550275/05550293.pdf,
127,Consequences ofmany-cell correlations in clocked quantum-dot cellular automata,"M. Taucer, F. Karim, K. Walus, and R. A. Wolkow, ",07 July 2015,15289764,10.1109/TNANO.2015.2426058,11,IEEE,https://ieeexplore.ieee.org/document/7098406,
128,A device architecture for computing withquantum dots,"C. S. Lent and P. D. Tougaw, ",06 August 2002,5594749,10.1109/5.573740,863,IEEE,https://ieeexplore.ieee.org/document/573740,
129,Automateddesign architecture for 1-D cellular automata using quantum cellularautomata,"V. A. Mardiris, G. C. Sirakoulis, and I. G. Karafyllidis, ",05 August 2015,15346061,10.1109/TC.2014.2366745,12,IEEE,http://ieeexplore.ieee.org/abstract/document/6945867/,
130,Design of generalized pipeline cellulararray in quantum-dot cellular automata,"A. F. Almatrood and H. Singh, ",14 March 2018,17633584,10.1109/LCA.2017.2719021,5,IEEE,http://ieeexplore.ieee.org/abstract/document/7956156/,
131,A signal distribution networkfor sequential quantum-dot cellular automata systems,"H. Hast, S. Khorbotly, and D. Tougaw, ",07 July 2015,15289776,10.1109/TNANO.2015.2428651,7,IEEE,https://ieeexplore.ieee.org/document/7098419?arnumber=7098419,
132,"Quantum search algorithms,quantum wireless, and a low-complexity maximum likelihood iterativequantum multi-user detector design","P. Botsinis, S. X. Ng, and L. Hanzo, ",10 May 2013,13730378,10.1109/ACCESS.2013.2259536,44,IEEE,https://ieeexplore.ieee.org/document/6515077,
133,Low-complexity soft-output quantum-assisted multiuser detection for direct-sequence spread-ing and slow subcarrier-hopping aided SDMA-OFDM systems,"P. Botsinis, D. Alanis, S. X. Ng, and L. Hanzo, ",23 May 2017,14316372,10.1109/ACCESS.2014.2322013,23,IEEE,https://ieeexplore.ieee.org/document/6812127,
134,Fixed-complexity quantum-assistedmulti-user detection for CDMA and SDMA,"P. Botsinis, S. X. Ng, and L. Hanzo, ",25 March 2014,0,10.1109/TCOMM.2014.012514.130615,32,IEEE,http://ieeexplore.ieee.org/document/6730885/,
135,Iterativequantum-assisted multi-user detection for multi-carrier interleave divi-sion multiple access systems,"P. Botsinis, D. Alanis, Z. Babar, S. X. Ng, and L. Hanzo, ",15 October 2015,15524641,10.1109/TCOMM.2015.2458857,29,IEEE,https://ieeexplore.ieee.org/document/7163557,
136,Quan-tum search-aided multi-user detection of IDMA-assisted multi-layeredvideo streaming,"P. Botsinis, Y. Huo, D. Alanis, Z. Babar, S. X. Ng, and L. Hanzo, ",06 May 2019,17381088,10.1109/ACCESS.2017.2732358,7,IEEE,http://ieeexplore.ieee.org/abstract/document/7993006/,
137,The impact of nodeselfishness on multicasting in delay tolerant networks,"Y. Li, G. Su, D. O. Wu, D. Jin, L. Su, and L. Zeng, ",13 June 2011,12060236,10.1109/TVT.2011.2149552,114,IEEE,http://ieeexplore.ieee.org/document/5762399/,
138,Quantum-assistedrouting optimization for self-organizing networks,"D. Alanis, P. Botsinis, S. X. Ng, and L. Hanzo, ",23 May 2017,14429399,10.1109/ACCESS.2014.2327596,30,IEEE,https://ieeexplore.ieee.org/document/6825798,
139,Joint channel estimation anddata detection in MIMO-OFDM systems: A sparse Bayesian learningapproach,"R. Prasad, C. R. Murthy, and B. D. Rao, ",10 September 2015,15432970,10.1109/TSP.2015.2451071,75,IEEE,https://ieeexplore.ieee.org/document/7140825,
140,Joint channel estima-tion and multiuser detection for SDMA/OFDM based on dual repeatedweighted boosting search,"J. Zhang, S. Chen, X. Mu, and L. Hanzo, ",12 September 2011,12219122,10.1109/TVT.2011.2161356,30,IEEE,https://ieeexplore.ieee.org/document/5941035,
141,A quantum inspired reinforce-ment learning technique for beyond next generation wireless networks,"S. Nuuman, D. Grace, and T. Clarke, ",18 June 2015,15220492,10.1109/WCNCW.2015.7122566,1,IEEE,https://ieeexplore.ieee.org/document/7122566,
142,Quantum neural networks(QNNs): Inherently fuzzy feedforward neural networks,"G. Purushothaman and N. B. Karayiannis, ",06 August 2002,5594482,10.1109/72.572106,123,IEEE,https://ieeexplore.ieee.org/document/572106,
143,Sparse representationfor wireless communications: A compressive sensing approach,"Z. Qin, J. Fan, Y. Liu, Y. Gao, and G. Y. Li, ",26 April 2018,17750705,10.1109/MSP.2018.2789521,104,IEEE,https://ieeexplore.ieee.org/abstract/document/8350399/,
144,Learn to cache:Machine learning for network edge caching in the big data era,"Z. Chang, L. Lei, Z. Zhou, S. Mao, and T. Ristaniemi, ",04 July 2018,17895127,10.1109/MWC.2018.1700317,106,IEEE,https://ieeexplore.ieee.org/document/8403948,
145,Multi-objective routingoptimization using evolutionary algorithms,"H. Yetgin, K. T. K. Cheung, and L. Hanzo, ",11 June 2012,12805181,10.1109/WCNC.2012.6214324,28,IEEE,http://ieeexplore.ieee.org/document/6214324/,
146,Quantum computing in big data analytics:A survey,"T. A. Shaikh and R. Ali, ",13 March 2017,16726160,10.1109/CIT.2016.79,15,IEEE,https://ieeexplore.ieee.org/document/7876324,
147,A survey on network methodologies for real-time analytics of massiveIoT data and open research issues,"S. Verma, Y. Kawamoto, Z. M. Fadlullah, H. Nishiyama, and N. Kato,",21 August 2017,17136510,10.1109/COMST.2017.2694469,227,IEEE,https://ieeexplore.ieee.org/document/7900337,
148,Training-based antenna selection for PER minimization: A POMDPapproach,"S. Padmanabhan, R. G. Stephen, C. R. Murthy, and M. Coupechoux,",03 September 2015,15432794,10.1109/TCOMM.2015.2455504,12,IEEE,http://ieeexplore.ieee.org/document/7155517,
149,Learning and data-driven beam selectionfor mmWave communications: An angle of arrival-based approach,"C. Antón-Haro and X. Mestre, ",21 February 2019,18468050,10.1109/ACCESS.2019.2895594,30,IEEE,https://ieeexplore.ieee.org/document/8630933,
150,Learning state selection for reconfig-urable antennas: A multi-armed bandit approach,"N. Gulati and K. R. Dandekar, ",27 February 2014,14131500,10.1109/TAP.2013.2276414,44,IEEE,https://ieeexplore.ieee.org/document/6574205,
151,Indoor localization usingvisible light via fusion of multiple classifiers,"X. Guo, S. Shao, N. Ansari, and A. Khreishah, ",14 November 2017,0,10.1109/JPHOT.2017.2767576,58,IEEE,https://ieeexplore.ieee.org/document/8089342,
152,Adaptive demodulator using machinelearning for orbital angular momentum shift keying,"J. Li, M. Zhang, and D. Wang, ",31 July 2017,17132608,10.1109/LPT.2017.2726139,37,IEEE,http://ieeexplore.ieee.org/document/7976374,
153,"Learning to communicate:Channel auto-encoders, domain specific regularizers, and attention","T. J. O’Shea, K. Karra, and T. C. Clancy, ",27 March 2017,16774449,10.1109/ISSPIT.2016.7886039,119,IEEE,https://ieeexplore.ieee.org/document/7886039,
154,Deep learningbased communication over the air,"S. Dörner, S. Cammerer, J. Hoydis, and S. ten Brink, ",19 February 2018,17581583,10.1109/JSTSP.2017.2784180,349,IEEE,https://ieeexplore.ieee.org/document/8214233,
155,Dictionary learning-based sparse channel repre-sentation and estimation for FDD massive MIMO systems,"Y. Ding and B. D. Rao, ",10 August 2018,18007396,10.1109/TWC.2018.2843786,59,IEEE,https://ieeexplore.ieee.org/document/8383706,
156,On the performance of non-orthogonal multiple access in 5G systems with randomly deployed users,"Z. Ding, Z. Yang, P. Fan, and H. V. Poor, ",01 August 2014,14500738,10.1109/LSP.2014.2343971,1332,IEEE,http://ieeexplore.ieee.org/document/6868214/,
157,NOMA based resource allocation and mobility enhancement frameworkfor IoT in next generation cellular networks,"R. Abozariba, M. K. Naeem, M. Patwary, M. Seyedebrahimi, and P. Bull,",19 March 2019,18526678,10.1109/ACCESS.2019.2896008,18,IEEE,https://ieeexplore.ieee.org/document/8629874,
158,Detec-tion for 5G-NOMA: An online adaptive machine learning approach,"D. A. Awan, R. L. G. Cavalcante, M. Yukawa, and S. Stanczak, ",31 July 2018,17971370,10.1109/ICC.2018.8422449,21,IEEE,https://ieeexplore.ieee.org/iel7/8411665/8422068/08422449.pdf,
159,Deep learning for an effec-tive nonorthogonal multiple access scheme,"G. Gui, H. Huang, Y. Song, and H. Sari, ",17 September 2018,18095115,10.1109/TVT.2018.2848294,320,IEEE,https://ieeexplore.ieee.org/document/8387468,
160,Delay minimizationfor NOMA-MEC offloading,"Z. Ding, D. W. K. Ng, R. Schober, and H. V. Poor, ",09 November 2018,18210767,10.1109/LSP.2018.2876019,97,IEEE,http://ieeexplore.ieee.org/document/8492422/,
161,Applications ofmachine learning to cognitive radio networks,"C. Clancy, J. Hecker, E. Stuntebeck, and T. O’Shea, ",10 September 2007,9624485,10.1109/MWC.2007.4300983,207,IEEE,http://ieeexplore.ieee.org/document/4300983,
